Time,Kinetic_E,Potential_E,Total_E
3.0600,6439337.8509,-1521707.7363,4917630.1146
3.0700,6418964.4893,-1679498.3246,4739466.1647
3.0800,6380324.8624,-1519010.6211,4861314.2413
3.0900,6345343.9884,-1558771.1808,4786572.8076
3.1000,6354613.7339,-1496136.9042,4858476.8297
3.1100,6426724.8953,-1503354.8944,4923370.0008
3.1200,6523124.6416,-1518587.7282,5004536.9134
3.1300,6564394.2572,-1393926.3083,5170467.9490
3.1400,6495081.4102,-1471333.0982,5023748.3119
3.1500,6494758.2744,-1421593.4035,5073164.8709
3.1600,6597023.6631,-1539545.6005,5057478.0626
3.1700,6669956.4906,-1538649.8568,5131306.6337
3.1800,6646767.9809,-1412039.9143,5234728.0666
3.1900,6581440.6548,-1608651.9252,4972788.7295
3.2000,6480666.3092,-1548519.3996,4932146.9096
3.2100,6467333.6692,-1460950.6521,5006383.0171
3.2200,6375640.8157,-1463169.5555,4912471.2602
3.2300,6371251.4167,-1494313.2314,4876938.1853
3.2400,6376824.2199,-1463383.3013,4913440.9187
3.2500,6366715.8084,-1524012.8034,4842703.0050
3.2600,6341397.3193,-1359575.8368,4981821.4826
3.2700,6256510.0064,-1496792.9351,4759717.0713
3.2800,6208718.0728,-1486574.1373,4722143.9354
3.2900,6210327.0955,-1611792.1088,4598534.9868
3.3000,6265372.6742,-1515742.8926,4749629.7815
3.3100,6385199.5830,-1589271.7418,4795927.8413
3.3200,6450704.8780,-1458911.2168,4991793.6612
3.3300,6538899.9076,-1515362.0638,5023537.8438
3.3400,6583839.2643,-1532859.9867,5050979.2777
3.3500,6528301.7439,-1671689.2878,4856612.4560
3.3600,6481711.1216,-1587238.0614,4894473.0602
3.3700,6401423.8918,-1432285.9100,4969137.9818
3.3800,6351962.3484,-1455420.6555,4896541.6928
3.3900,6241994.2653,-1380009.6404,4861984.6249
3.4000,6179172.5935,-1452341.8399,4726830.7536
3.4100,6131618.4196,-1470073.7970,4661544.6225
3.4200,6103868.7941,-1507742.3121,4596126.4820
3.4300,6087563.8463,-1576926.3159,4510637.5304
3.4400,6066794.7716,-1470732.0432,4596062.7284
3.4500,5996351.8714,-1413104.3528,4583247.5186
3.4600,6000852.3562,-1369288.6901,4631563.6660
3.4700,6071838.6318,-1422862.1632,4648976.4686
3.4800,6108592.3097,-1377444.7670,4731147.5427
3.4900,6100035.5103,-1458098.5799,4641936.9304
3.5000,6051769.0835,-1403845.4220,4647923.6616
3.5100,5962780.7796,-1429860.4807,4532920.2989
3.5200,5921019.8660,-1394679.4503,4526340.4157
3.5300,5928509.5452,-1537599.2975,4390910.2477
3.5400,5910029.5224,-1354250.0282,4555779.4942
3.5500,5922877.8432,-1455757.9128,4467119.9304
3.5600,5927378.3443,-1440379.7723,4486998.5720
3.5700,5863047.1152,-1373824.2682,4489222.8470
3.5800,5847505.8825,-1266104.4783,4581401.4042
3.5900,5799149.3961,-1426713.9028,4372435.4933
3.6000,5776326.0937,-1278326.6138,4497999.4800
3.6100,5769070.3370,-1450932.1075,4318138.2295
3.6200,5788301.7716,-1492270.8343,4296030.9373
3.6300,5797405.3675,-1446052.1750,4351353.1925
3.6400,5847634.6087,-1334658.1058,4512976.5029
3.6500,5876004.2415,-1479074.4313,4396929.8103
3.6600,5877922.3966,-1412262.2263,4465660.1703
3.6700,5882128.6120,-1480568.9329,4401559.6791
3.6800,5841320.7575,-1272319.6575,4569001.1000
3.6900,5833087.9382,-1318537.0928,4514550.8454
3.7000,5840681.3583,-1421901.7607,4418779.5977
3.7100,5819484.8851,-1370417.6154,4449067.2697
3.7200,5800770.0772,-1453936.6015,4346833.4757
3.7300,5844385.7159,-1441624.4186,4402761.2973
3.7400,5937252.6726,-1531854.3330,4405398.3396
3.7500,5937129.6269,-1501711.6578,4435417.9691
3.7600,5885359.9070,-1425300.8064,4460059.1006
3.7700,5944036.8706,-1386874.8510,4557162.0196
3.7800,6007588.2238,-1406737.1869,4600851.0370
3.7900,6024446.9601,-1517583.5174,4506863.4427
3.8000,5997254.8706,-1486620.9044,4510633.9662
